epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60367,2.12632,3.92046,2.60573,0.00895,0.875,0.02876,0.01544,1.26815,5.36251,2.27569,0.00010002,0.00010002,0.00010002
2,10.874,1.90898,3.5522,2.39052,0.49867,0.875,0.7752,0.28452,1.81258,8.56912,2.40479,0.000212419,0.000212419,0.000212419
3,14.0129,1.74616,2.67721,2.14675,0.27553,0.4375,0.29721,0.0839,1.60877,33.6537,2.34074,0.000320197,0.000320197,0.000320197
4,16.9414,1.63648,2.44104,2.09379,0.06407,0.25,0.07834,0.02693,2.07429,21.0166,3.31302,0.000423355,0.000423355,0.000423355
5,19.6245,1.58574,2.52902,2.07849,0.10444,0.625,0.07445,0.03079,2.29607,410.642,3.82555,0.000521891,0.000521891,0.000521891
6,22.2773,1.51476,2.16185,1.98707,0.90058,0.0625,0.07275,0.04149,2.72284,10.2891,3.47701,0.000615806,0.000615806,0.000615806
7,25.0551,1.58391,2.10324,2.05639,0.01613,0.5625,0.01161,0.00533,2.38115,151.326,3.1333,0.000705101,0.000705101,0.000705101
8,27.8534,1.81338,2.16625,2.16676,0.48377,0.5,0.39478,0.18233,1.93946,10.786,2.94883,0.000789775,0.000789775,0.000789775
9,30.9166,1.65744,2.16147,2.04292,0.75,0.1875,0.24694,0.08873,2.03823,20.0098,2.92043,0.000869827,0.000869827,0.000869827
10,33.5014,1.86544,2.37846,2.18237,0.58333,0.1875,0.12108,0.03641,2.3471,27.2428,4.0517,0.000945259,0.000945259,0.000945259
11,36.0649,1.78487,2.13419,2.08425,0.00708,0.25,0.00512,0.0008,4.16059,75.3521,8.00167,0.00101607,0.00101607,0.00101607
12,38.5518,1.80423,2.17267,2.19049,0.00209,0.125,0.00064,0.00013,4.44243,131.975,16.7028,0.00108226,0.00108226,0.00108226
13,41.0164,1.62498,2.07967,2.06139,0.02363,0.375,0.019,0.00335,3.26414,119.505,8.85643,0.00114383,0.00114383,0.00114383
14,43.4873,1.81338,2.19386,2.19703,0.02363,0.375,0.019,0.00335,3.26414,119.505,8.85643,0.00120078,0.00120078,0.00120078
15,46.006,1.71241,2.14567,2.08413,0.00952,0.25,0.06835,0.008,3.44911,256.091,9.3353,0.00120491,0.00120491,0.00120491
16,48.6382,1.72489,2.15668,2.09945,0.08206,0.1875,0.15176,0.02927,4.03566,19.2995,9.14658,0.0011719,0.0011719,0.0011719
17,51.3045,1.68974,2.07361,2.07412,0.08041,0.5625,0.05355,0.01857,3.17535,43.2712,5.72977,0.00113889,0.00113889,0.00113889
18,53.9384,1.82437,2.07377,2.10649,0.11489,0.5,0.10771,0.04777,2.09529,17.2887,3.49356,0.00110589,0.00110589,0.00110589
