epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96525,2.07429,3.47501,2.58137,0.06688,0.6875,0.10929,0.07289,1.08519,4.20058,1.98199,0.00010002,0.00010002,0.00010002
2,15.9233,1.88423,3.28734,2.34208,0.74205,0.4375,0.5471,0.20775,1.7744,15.1381,2.52742,0.000212419,0.000212419,0.000212419
3,21.5973,1.8498,2.97261,2.18798,0.02556,0.1875,0.02764,0.01141,2.19151,8.04243,3.22398,0.000320197,0.000320197,0.000320197
4,26.1217,1.91553,2.8581,2.39831,0.02653,0.375,0.02778,0.00893,2.0832,72.4284,3.48043,0.000423355,0.000423355,0.000423355
5,30.3662,2.00065,2.66249,2.33915,0.15356,0.75,0.22181,0.09632,1.98607,6.34876,3.18916,0.000521891,0.000521891,0.000521891
6,34.2665,1.96725,2.44618,2.18467,0.01945,0.5,0.01641,0.00473,2.74018,133.73,4.49364,0.000615806,0.000615806,0.000615806
7,38.2281,1.7178,2.22518,2.00252,0.02663,0.6875,0.02782,0.00987,2.50131,58.5485,5.19837,0.000705101,0.000705101,0.000705101
8,42.5753,1.92383,2.40646,2.19648,0.04148,0.25,0.04044,0.00964,3.40389,12.6178,6.60876,0.000789775,0.000789775,0.000789775
9,46.6615,1.97442,2.47951,2.28713,0.00391,0.6875,0.00403,0.0014,2.54185,537.625,5.91581,0.000869827,0.000869827,0.000869827
10,51.2697,1.97207,2.43222,2.26083,0.0014,0.3125,0.0009,0.00019,4.16255,inf,12.1452,0.000945259,0.000945259,0.000945259
11,55.9203,1.98998,2.29717,2.27671,0,0,0,0,5.02137,inf,665.449,0.00101607,0.00101607,0.00101607
12,60.4044,2.08689,2.45768,2.34981,0,0,0,0,4.97618,inf,706.724,0.00108226,0.00108226,0.00108226
13,65.0026,1.77573,2.23709,2.13758,0,0,0,0,5.68123,inf,1053.22,0.00114383,0.00114383,0.00114383
14,69.3793,1.97765,2.3494,2.23036,0,0,0,0,5.68123,inf,1053.22,0.00120078,0.00120078,0.00120078
15,73.3894,1.94973,2.33371,2.19618,0.0002,0.0625,9e-05,2e-05,5.2432,inf,172.492,0.00120491,0.00120491,0.00120491
16,77.6438,1.9281,2.30175,2.21719,0,0,0,0,nan,nan,nan,0.0011719,0.0011719,0.0011719
17,81.6669,1.93003,2.31321,2.24746,0.00017,0.0625,0.0001,2e-05,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,85.8714,1.91611,2.4052,2.21149,0.0006,0.1875,0.00037,0.0001,3.74129,inf,36.3228,0.00110589,0.00110589,0.00110589
19,90.4355,1.8498,2.33332,2.0841,0.01085,0.625,0.01566,0.00422,2.87104,671.876,12.7865,0.00107288,0.00107288,0.00107288
20,95.6212,1.8873,2.37521,2.1591,0.04659,0.6875,0.07586,0.02875,2.31475,91.6257,6.76172,0.00103987,0.00103987,0.00103987
21,99.7083,1.96515,2.30199,2.18812,0.11185,0.625,0.2762,0.0989,2.43546,23.8897,4.75002,0.00100687,0.00100687,0.00100687
22,103.264,1.69925,2.2282,1.97863,0.11185,0.625,0.2762,0.0989,2.43546,23.8897,4.75002,0.000973861,0.000973861,0.000973861
23,106.965,1.95513,2.35041,2.16808,0.30771,0.625,0.37004,0.12479,2.40074,8.17515,3.98852,0.000940855,0.000940855,0.000940855
24,110.868,1.77245,2.10381,1.98718,0.65714,0.25,0.27516,0.07646,2.73712,9.36798,3.83577,0.000907848,0.000907848,0.000907848
25,114.186,1.90816,2.2368,2.12177,0.37445,0.5,0.39027,0.11916,2.34899,7.13844,3.29044,0.000874842,0.000874842,0.000874842
26,117.51,1.73581,2.04819,2.03431,0.73065,0.73251,0.7599,0.38768,1.8156,4.37826,2.51015,0.000841835,0.000841835,0.000841835
27,121.993,1.72485,2.10414,1.99978,0.48178,0.74775,0.68905,0.30952,2.11308,2.67335,2.65397,0.000808828,0.000808828,0.000808828
28,125.265,1.79681,2.13449,2.06694,0.39048,0.52789,0.49445,0.24463,1.94276,2.4733,2.4791,0.000775822,0.000775822,0.000775822
